year,gap
1949-01-01,-24.8
1949-04-01,-49.8
1949-07-01,-47.8
1949-10-01,-84.2
1950-01-01,-29.5
1950-04-01,8.3
1950-07-01,64.3
1950-10-01,78.4
1951-01-01,81.6
1951-04-01,92.3
1951-07-01,110.2
1951-10-01,88.8
1952-01-01,85.9
1952-04-01,63.6
1952-07-01,54.3
1952-10-01,104.4
1953-01-01,125.2
1953-04-01,121.7
1953-07-01,86.8
1953-10-01,29.8
1954-01-01,-0.4
1954-04-01,-15.6
1954-07-01,-7.2
1954-10-01,22
1955-01-01,72.8
1955-04-01,95
1955-07-01,109.6
1955-10-01,104.6
1956-01-01,72.7
1956-04-01,71.8
1956-07-01,47.3
1956-10-01,66.9
1957-01-01,60.6
1957-04-01,31.3
1957-07-01,32.7
1957-10-01,-18.5
1958-01-01,-112.6
1958-04-01,-120.5
1958-07-01,-84.6
1958-10-01,-47.7
1959-01-01,-17.2
1959-04-01,27.4
1959-07-01,-0.1
1959-10-01,-15.2
1960-01-01,21.1
1960-04-01,-19.2
1960-07-01,-42.1
1960-10-01,-106.5
1961-01-01,-117.9
1961-04-01,-93.3
1961-07-01,-75.4
1961-10-01,-44.6
1962-01-01,-20
1962-04-01,-15.9
1962-07-01,-17.3
1962-10-01,-39.8
1963-01-01,-30
1963-04-01,-21.7
1963-07-01,6.9
1963-10-01,-0.3
1964-01-01,40.9
1964-04-01,46.9
1964-07-01,59.9
1964-10-01,36
1965-01-01,86
1965-04-01,98.6
1965-07-01,135.1
1965-10-01,185.9
1966-01-01,239.5
1966-04-01,212.8
1966-07-01,197.6
1966-10-01,188
1967-01-01,181
1967-04-01,140.8
1967-07-01,131.1
1967-10-01,120.3
1968-01-01,162.4
1968-04-01,191.8
1968-07-01,180.5
1968-10-01,159.1
1969-01-01,185.1
1969-04-01,157.2
1969-07-01,144
1969-10-01,83.9
1970-01-01,37.6
1970-04-01,6.5
1970-07-01,5.9
1970-10-01,-77.7
1971-01-01,2.3
1971-04-01,-9.7
1971-07-01,-11.4
1971-10-01,-36.1
1972-01-01,5.5
1972-04-01,74.6
1972-07-01,80.1
1972-10-01,117.3
1973-01-01,197.7
1973-04-01,211.3
1973-07-01,141.1
1973-10-01,143.1
1974-01-01,53.9
1974-04-01,19.7
1974-07-01,-76
1974-10-01,-142
1975-01-01,-246.6
1975-04-01,-253.9
1975-07-01,-215.6
1975-10-01,-193.9
1976-01-01,-122.3
1976-04-01,-125.3
1976-07-01,-141.8
1976-10-01,-146.6
1977-01-01,-130.5
1977-04-01,-71.1
1977-07-01,-21.5
1977-10-01,-69.9
1978-01-01,-99.9
1978-04-01,62.9
1978-07-01,65.9
1978-10-01,89.2
1979-01-01,46.9
1979-04-01,2.7
1979-07-01,-2.6
1979-10-01,-30.7
1980-01-01,-50.6
1980-04-01,-204.3
1980-07-01,-245.8
1980-10-01,-169.3
1981-01-01,-78.8
1981-04-01,-162.5
1981-07-01,-128.1
1981-10-01,-243.3
1982-01-01,-386.6
1982-04-01,-401.6
1982-07-01,-472
1982-10-01,-515.6
1983-01-01,-488.5
1983-04-01,-400.2
1983-07-01,-326.1
1983-10-01,-244.7
1984-01-01,-170.7
1984-04-01,-110.6
1984-07-01,-99.6
1984-10-01,-99.9
1985-01-01,-93.1
1985-04-01,-93.3
1985-07-01,-44.9
1985-10-01,-50.4
1986-01-01,-40.4
1986-04-01,-68.4
1986-07-01,-56.5
1986-10-01,-77.8
1987-01-01,-93.8
1987-04-01,-72.9
1987-07-01,-65.4
1987-10-01,4.2
1988-01-01,-13.5
1988-04-01,26.4
1988-07-01,8.9
1988-10-01,53.8
1989-01-01,69
1989-04-01,69.2
1989-07-01,73.1
1989-10-01,31.9
1990-01-01,56.1
1990-04-01,29.5
1990-07-01,-28.7
1990-10-01,-156.9
1991-01-01,-251.9
1991-04-01,-253.4
1991-07-01,-274.2
1991-10-01,-296.9
1992-01-01,-262.5
1992-04-01,-230.1
1992-07-01,-199.7
1992-10-01,-167.6
1993-01-01,-209.2
1993-04-01,-213.6
1993-07-01,-228.6
1993-10-01,-176.8
1994-01-01,-154.8
1994-04-01,-98.8
1994-07-01,-106.3
1994-10-01,-73.1
1995-01-01,-117.6
1995-04-01,-166.2
1995-07-01,-159.4
1995-10-01,-166.3
1996-01-01,-175.2
1996-04-01,-88.1
1996-07-01,-80.2
1996-10-01,-52
1997-01-01,-55.1
1997-04-01,9.6
1997-07-01,52.5
1997-10-01,46.7
1998-01-01,57.3
1998-04-01,62.4
1998-07-01,109.5
1998-10-01,199.4
1999-01-01,203
1999-04-01,194.7
1999-07-01,238.1
1999-10-01,338.4
2000-01-01,272
2000-04-01,389
2000-07-01,299.4
2000-10-01,266.5
2001-01-01,129.7
2001-04-01,105.1
2001-07-01,-23.5
2001-10-01,-79.4
2002-01-01,-74
2002-04-01,-103.4
2002-07-01,-133
2002-10-01,-214.5
2003-01-01,-249.4
2003-04-01,-229.4
2003-07-01,-112.2
2003-10-01,-77.8
2004-01-01,-69.2
2004-04-01,-60.2
2004-07-01,-37.6
2004-10-01,-5.2
2005-01-01,52.5
2005-04-01,37.6
2005-07-01,66.1
2005-10-01,58.9
2006-01-01,146.1
2006-04-01,122.9
2006-07-01,48
2006-10-01,58.5
2007-01-01,-2.3
2007-04-01,35.5
2007-07-01,52.1
2007-10-01,29.5
2008-01-01,-106.5
2008-04-01,-139
2008-07-01,-336.4
2008-10-01,-710.5
2009-01-01,-949.1
2009-04-01,-1018.2
2009-07-01,-1028.1
2009-10-01,-954.4
2010-01-01,-929.4
2010-04-01,-906.1
2010-07-01,-870.9
2010-10-01,-843
2011-01-01,-895.1
2011-04-01,-871.6
2011-07-01,-888.5
2011-10-01,-814.9
2012-01-01,-811
2012-04-01,-830.8
2012-07-01,-789.4
2012-10-01,-848.6
